month,day,hour,City,Shape,State,Country,Summary,lat,lng
11.0,26.0,15.0,Vacaville,Sphere,CA,USA,Bright light staying perfectly still in s western sky and below cloud line,38.3565773,-121.9877443
11.0,26.0,4.0,West New York,Light,NJ,USA,"It was a bright neon blue light that moved swiftly,loud,and high pitched. 
((anonymous report))",40.785529,-74.0083002
11.0,25.0,22.0,Olathe,Chevron,KS,USA,"I was standing outside and happened to look up and saw a grey boomerang 
shaped object moving silently across the sky then over the hous",38.8843867,-94.8161126
11.0,25.0,20.0,Tyrone,Light,GA,USA,"I was driving with the boyfriend when we saw three orbs of light in the sky 
in the shape of a triangle. One of them started moving unti",33.6723506,-82.8612562
11.0,25.0,20.0,Vero Beach,Sphere,FL,USA,"Saw a formation of approx. 2 doz. reddish/ orange glowing spherical objects 
float cross from the ocean side (east) to west across Hwy",27.6387163,-80.3975398
11.0,25.0,19.0,Bedford,Sphere,IN,USA,"5 orange orbs, aligned somewhat vertically, though offset, were seen moving 
very slowly for about a minute",38.8611619,-86.4872148
11.0,25.0,19.0,Nevada,Light,NV,USA,Lights over Nevada seen from commercial airplane.,39.5158825,-116.8537226
11.0,25.0,18.0,Brandon,Fireball,FL,USA,Ufo on fire in sky.,27.928464,-82.2880445
11.0,25.0,17.0,Torrance,Light,CA,USA,"Red, green ball of light moving sporadically, descending, hovering and 
ascending. ((NUFORC Note: Probably a star. PD))",33.8358492,-118.3406287
11.0,25.0,11.0,Longmont,Circle,CO,USA,"My 9-year-old brother looked up into the sky because something caught his 
eye. Orange circle. ((anonymous report))",40.1672117,-105.1019286
11.0,25.0,1.0,Warner Robins,Light,GA,USA,Light in sky increases in brightness and then disappears,32.598313,-83.6256769
11.0,25.0,1.0,Newcastle,Flash,WA,USA,"Flash of light over Newcastle, WA. Flashed twice. ((anonymous report))",47.5395736,-122.156333
11.0,24.0,23.0,Graham,Circle,NC,USA,"The object was blinking different colors. It was blinking red, green, blue. 
It was blinking very fast. It kept disappearing.",36.069026,-79.4005759
11.0,24.0,21.0,Annapolis,Light,MD,USA,Orange lights by Severn River bridge.,38.9786401,-76.4927859
11.0,24.0,20.0,Balko,Light,OK,USA,"Seen a red light heading south it turned blue stopped hovered about 3 mins. 
Turned orange and headed south I followed",36.6600752,-100.679207
11.0,24.0,19.0,Woodbridge,Light,NJ,USA,"2 bright white lights flying NE over Fords, paused in Woodbridge for a 
unique airshow then the headed south towards Perth Amboy",40.55418,-74.2860007
11.0,24.0,19.0,Woodbridge,Oval,NJ,USA,"2 bright white lights flying NE over Fords, paused in Woodbridge for a 
unique airshow then the headed south passing Perth Amboy.",40.55418,-74.2860007
11.0,24.0,18.0,Oldsmar,Sphere,FL,USA,"Strange cream colored sphere that changed from looking like deflated 
balloon to hard white glass.",28.06906015,-82.6501914
11.0,24.0,18.0,Zebulon,Disk,NC,USA,"((HOAX??)) Mid-sized disk shaped obj., rotating violently, flying back and 
forth, landed several times, collision with dog & 2 people.",35.824321,-78.3147199
11.0,24.0,17.0,Monrovia,Light,MD,USA,"Multiple bright orange lights near Monrovia, MD.",39.3720477,-77.2719278
11.0,24.0,3.0,Grand Junction,Disk,CO,USA,A large-seeming camouflaged saucer rotating on an axis,39.063956,-108.5507316
11.0,24.0,2.0,Colorado Springs,Light,CO,USA,"S sky, my wife and I were on the porch and we saw one bright star, that was 
moving. It was twinkling. ((NUFORC Note: Sirius. PD))",38.8339578,-104.8253484
11.0,24.0,0.0,D'iberville,Light,MS,USA,"Mysterious Red-blinking Lights Appear and Disappear, After Hovering 
Stationary Over Busy Shopping District in Biloxi, MS.",30.4263092,-88.8908637
11.0,23.0,23.0,Tinton Falls,Light,NJ,USA,Circling lights in Monmouth County Night Sky. ((anonymous report)),40.3159438,-74.0851403
11.0,23.0,22.0,Beaverton,Disk,OR,USA,Massive green rotating disc-shaped lights over Portland,45.4871723,-122.8037803
11.0,23.0,21.0,Central Square,Light,NY,USA,Amber ball of light over Syracuse.,43.286736,-76.1460359
11.0,23.0,1.0,Poteau,Sphere,OK,USA,"Bright green light hovering in the sky then shoots across short distance 
and disappears completely from the sky.",35.0537094,-94.6235578
11.0,22.0,21.0,Mesa,Light,AZ,USA,"Bright red light,waning until disappearing, moving in small, erratic, 
directional changes.",33.436188,-111.5860661
11.0,22.0,21.0,Oshawa,Sphere,ON,CANADA,"Colourful Ball of Light Over Lake Ontario, Canada. ((NUFORC Note: Possible 
sighting of celestial bodies? PD))",43.9172764,-78.8614873
11.0,22.0,21.0,Largo,Chevron,FL,USA,"Very dim white lighting, appr 5 evenly spaced lights down each leg of the 
chevron. Glided by in total silence, headed in a south direct",27.9094665,-82.7873243
11.0,22.0,21.0,Beecher,Chevron,IL,USA,Flaming wing. Quiet. Traveling east to west.,41.34059,-87.6214285
11.0,22.0,21.0,Santa Clara,Other,UT,USA,Southern Utah sceptic reporting cloaking UFO in hopes someone else saw it.,37.1330355,-113.6541265
11.0,22.0,21.0,Santa Clara,Other,UT,USA,Southern Utah sceptic reporting cloaking UFO in hopes someone else saw it,37.1330355,-113.6541265
11.0,22.0,20.0,Derby,Flash,KS,USA,Green bright flashes in sky over Derby/rosehill,37.5455735,-97.268933
